127.0.0.1 - - [30/Jul/2023:23:47:32 +0900] "GET / HTTP/1.1" 404 807
127.0.0.1 - - [30/Jul/2023:23:47:39 +0900] "GET /sosodiary/member/login.do HTTP/1.1" 200 4100
127.0.0.1 - - [30/Jul/2023:23:47:39 +0900] "GET /sosodiary/resources/css/login.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jul/2023:23:47:39 +0900] "GET /sosodiary/resources/css/reset.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jul/2023:23:47:39 +0900] "GET /sosodiary/resources/css/header.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jul/2023:23:47:39 +0900] "GET /sosodiary/resources/css/footer.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jul/2023:23:47:39 +0900] "GET /sosodiary/resources/js/jquery-3.6.3.min.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Jul/2023:23:47:40 +0900] "GET /sosodiary/resources/font/%ED%9C%B4%EB%A8%BC%EB%B2%94%EC%84%9D%EC%B2%B4.ttf HTTP/1.1" 304 -
127.0.0.1 - - [30/Jul/2023:23:47:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [30/Jul/2023:23:47:44 +0900] "GET /sosodiary/member/findId.do HTTP/1.1" 200 4105
127.0.0.1 - - [30/Jul/2023:23:47:44 +0900] "GET /sosodiary/resources/css/login_findId.css HTTP/1.1" 200 2143
127.0.0.1 - - [30/Jul/2023:23:47:44 +0900] "GET /sosodiary/resources/font/PretendardVariable.ttf HTTP/1.1" 304 -
127.0.0.1 - - [30/Jul/2023:23:48:08 +0900] "GET /sosodiary/member/findId.do HTTP/1.1" 200 4105
127.0.0.1 - - [30/Jul/2023:23:48:09 +0900] "GET /sosodiary/resources/css/reset.css HTTP/1.1" 200 1309
127.0.0.1 - - [30/Jul/2023:23:48:09 +0900] "GET /sosodiary/resources/css/login_findId.css HTTP/1.1" 200 2143
127.0.0.1 - - [30/Jul/2023:23:48:09 +0900] "GET /sosodiary/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89949
127.0.0.1 - - [30/Jul/2023:23:48:09 +0900] "GET /sosodiary/resources/css/footer.css HTTP/1.1" 200 568
127.0.0.1 - - [30/Jul/2023:23:48:09 +0900] "GET /sosodiary/resources/css/header.css HTTP/1.1" 200 1231
127.0.0.1 - - [30/Jul/2023:23:48:09 +0900] "GET /sosodiary/resources/font/%ED%9C%B4%EB%A8%BC%EB%B2%94%EC%84%9D%EC%B2%B4.ttf HTTP/1.1" 200 3576284
127.0.0.1 - - [30/Jul/2023:23:48:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [30/Jul/2023:23:48:09 +0900] "GET /sosodiary/resources/font/PretendardVariable.ttf HTTP/1.1" 200 6803260
127.0.0.1 - - [30/Jul/2023:23:48:10 +0900] "GET /sosodiary/member/findId.do HTTP/1.1" 200 4105
127.0.0.1 - - [30/Jul/2023:23:48:10 +0900] "GET /sosodiary/resources/css/login_findId.css HTTP/1.1" 200 2143
127.0.0.1 - - [30/Jul/2023:23:48:10 +0900] "GET /sosodiary/resources/css/reset.css HTTP/1.1" 200 1309
127.0.0.1 - - [30/Jul/2023:23:48:10 +0900] "GET /sosodiary/resources/css/footer.css HTTP/1.1" 200 568
127.0.0.1 - - [30/Jul/2023:23:48:10 +0900] "GET /sosodiary/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89949
127.0.0.1 - - [30/Jul/2023:23:48:10 +0900] "GET /sosodiary/resources/css/header.css HTTP/1.1" 200 1231
