127.0.0.1 - - [02/Sep/2023:17:45:18 +0900] "GET / HTTP/1.1" 404 807
127.0.0.1 - - [02/Sep/2023:17:45:19 +0900] "GET /sosodiary/common/index.do HTTP/1.1" 200 9593
127.0.0.1 - - [02/Sep/2023:17:45:19 +0900] "GET /sosodiary/resources/css/reset.css HTTP/1.1" 200 1309
127.0.0.1 - - [02/Sep/2023:17:45:20 +0900] "GET /sosodiary/resources/css/header.css HTTP/1.1" 200 1292
127.0.0.1 - - [02/Sep/2023:17:45:20 +0900] "GET /sosodiary/resources/js/index.js HTTP/1.1" 200 285
127.0.0.1 - - [02/Sep/2023:17:45:20 +0900] "GET /sosodiary/resources/js/jquery-3.6.4.min.js HTTP/1.1" 200 89797
127.0.0.1 - - [02/Sep/2023:17:45:20 +0900] "GET /sosodiary/diaryimage?diaNo=10 HTTP/1.1" 200 59110
127.0.0.1 - - [02/Sep/2023:17:45:20 +0900] "GET /sosodiary/diaryimage?diaNo=9 HTTP/1.1" 200 40357
127.0.0.1 - - [02/Sep/2023:17:45:20 +0900] "GET /sosodiary/resources/images/indexImg1.png HTTP/1.1" 200 40607
127.0.0.1 - - [02/Sep/2023:17:45:20 +0900] "GET /sosodiary/diaryimage?diaNo=8 HTTP/1.1" 200 43213
127.0.0.1 - - [02/Sep/2023:17:45:20 +0900] "GET /sosodiary/resources/images/indexImg3.png HTTP/1.1" 200 61391
127.0.0.1 - - [02/Sep/2023:17:45:20 +0900] "GET /sosodiary/resources/css/footer.css HTTP/1.1" 200 789
127.0.0.1 - - [02/Sep/2023:17:45:20 +0900] "GET /sosodiary/resources/images/indexImg2.png HTTP/1.1" 200 48307
127.0.0.1 - - [02/Sep/2023:17:45:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [02/Sep/2023:17:46:12 +0900] "GET /sosodiary/common/index.do HTTP/1.1" 200 9593
