127.0.0.1 - - [15/Aug/2023:23:17:03 +0900] "GET / HTTP/1.1" 404 807
127.0.0.1 - - [15/Aug/2023:23:17:10 +0900] "GET /sosodiary/common/index.do HTTP/1.1" 500 30942
127.0.0.1 - - [15/Aug/2023:23:17:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [15/Aug/2023:23:18:44 +0900] "GET /sosodiary/common/index.do HTTP/1.1" 200 5874
127.0.0.1 - - [15/Aug/2023:23:18:44 +0900] "GET /sosodiary/resources/css/header.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Aug/2023:23:18:44 +0900] "GET /sosodiary/resources/css/reset.css HTTP/1.1" 200 1309
127.0.0.1 - - [15/Aug/2023:23:18:44 +0900] "GET /sosodiary/resources/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Aug/2023:23:18:44 +0900] "GET /sosodiary/diaryimage?diaNo=5 HTTP/1.1" 200 45453
127.0.0.1 - - [15/Aug/2023:23:18:44 +0900] "GET /sosodiary/diaryimage?diaNo=2 HTTP/1.1" 200 45453
127.0.0.1 - - [15/Aug/2023:23:18:44 +0900] "GET /sosodiary/diaryimage?diaNo=1 HTTP/1.1" 200 45453
127.0.0.1 - - [15/Aug/2023:23:18:46 +0900] "GET /sosodiary/member/login.do HTTP/1.1" 200 4252
127.0.0.1 - - [15/Aug/2023:23:18:46 +0900] "GET /sosodiary/resources/css/login.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Aug/2023:23:18:46 +0900] "GET /sosodiary/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89949
127.0.0.1 - - [15/Aug/2023:23:18:46 +0900] "GET /sosodiary/resources/font/%ED%9C%B4%EB%A8%BC%EB%B2%94%EC%84%9D%EC%B2%B4.ttf HTTP/1.1" 200 3576284
127.0.0.1 - - [15/Aug/2023:23:18:57 +0900] "POST /sosodiary/member/welcome.do HTTP/1.1" 302 -
127.0.0.1 - - [15/Aug/2023:23:18:57 +0900] "GET /sosodiary/common/index.do?msg=login HTTP/1.1" 200 6236
127.0.0.1 - - [15/Aug/2023:23:18:57 +0900] "GET /sosodiary/diaryimage?diaNo=5 HTTP/1.1" 200 45453
127.0.0.1 - - [15/Aug/2023:23:18:57 +0900] "GET /sosodiary/diaryimage?diaNo=1 HTTP/1.1" 200 45453
127.0.0.1 - - [15/Aug/2023:23:18:57 +0900] "GET /sosodiary/diaryimage?diaNo=2 HTTP/1.1" 200 45453
127.0.0.1 - - [15/Aug/2023:23:19:11 +0900] "GET /sosodiary/diary/writeDiary.do HTTP/1.1" 200 9983
127.0.0.1 - - [15/Aug/2023:23:19:11 +0900] "GET /sosodiary/resources/js/canvas.js HTTP/1.1" 200 1530
127.0.0.1 - - [15/Aug/2023:23:19:11 +0900] "GET /sosodiary/resources/js/html2canvas.min.js HTTP/1.1" 200 198689
127.0.0.1 - - [15/Aug/2023:23:19:11 +0900] "GET /sosodiary/resources/js/jquery-ui.min.js HTTP/1.1" 200 254916
127.0.0.1 - - [15/Aug/2023:23:25:16 +0900] "GET /sosodiary/diary/writeDiary.do HTTP/1.1" 200 9104
127.0.0.1 - - [15/Aug/2023:23:25:16 +0900] "GET /sosodiary/resources/css/reset.css HTTP/1.1" 200 1309
127.0.0.1 - - [15/Aug/2023:23:25:16 +0900] "GET /sosodiary/resources/js/jquery-ui.min.js HTTP/1.1" 200 254916
127.0.0.1 - - [15/Aug/2023:23:25:16 +0900] "GET /sosodiary/resources/css/header.css HTTP/1.1" 200 1292
127.0.0.1 - - [15/Aug/2023:23:25:16 +0900] "GET /sosodiary/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89949
127.0.0.1 - - [15/Aug/2023:23:25:16 +0900] "GET /sosodiary/resources/js/canvas.js HTTP/1.1" 200 1530
